,window,mean_geoaltitude,mean_velocity
0,2,3431.930769,146.6214399
1,2,4673.7905,155.3737102
2,2,4904.613,166.6076128
3,2,5464.175,181.1272481
4,2,6477.5715,182.5718217
5,2,7352.411,180.2821945
6,2,8052.2445,163.1822106
7,2,8908.7325,157.8205245
8,2,9679.686,155.9571849
9,2,10286.1745,159.3835048
10,2,10906.9505,156.7675056
11,2,11276.2665,160.2201442
12,2,10577.449,183.2941029
13,2,9622.8535,188.0699587
14,2,8666.099,183.1467258
15,2,8237.2835,171.4873132
16,2,8238.1725,163.293247
17,2,8243.189,160.7160196
18,2,8244.84,160.5804987
19,2,8247.253,160.9453087
20,2,8252.3965,161.4724091
21,2,8252.46,161.0458149
22,2,8252.46,160.7374217
23,2,8255.1905,161.1493224
24,2,8260.0165,161.8828847
25,2,8260.207,158.4264172
26,2,8260.7785,158.4540722
27,2,8266.1125,159.0123807
28,2,8267.7,159.059025
29,2,8267.7,160.2737795
30,2,8267.7,161.1512591
31,2,7972.933,170.881687
32,2,6746.24,182.761953
33,2,5480.6215,175.901929
34,2,4411.472,168.9167083
35,2,4251.96,167.7284685
36,2,4251.96,167.7284685
