,t_plus_0,t_plus_1,t_plus_2
0,3431.9307692307702,4673.790499999998,4904.613000000001
1,4673.790499999998,4904.613000000001,5464.174999999997
2,4904.613000000001,5464.174999999997,6477.5715
3,5464.174999999997,6477.5715,7352.410999999996
4,6477.5715,7352.410999999996,8052.2445
5,7352.410999999996,8052.2445,8908.732499999996
6,8052.2445,8908.732499999996,9679.686000000005
7,8908.732499999996,9679.686000000005,10286.174500000003
8,9679.686000000005,10286.174500000003,10906.9505
9,10286.174500000003,10906.9505,11276.266500000014
10,10906.9505,11276.266500000014,10577.449
11,11276.266500000014,10577.449,9622.853500000005
12,10577.449,9622.853500000005,8666.098999999995
13,9622.853500000005,8666.098999999995,8237.28349999998
14,8666.098999999995,8237.28349999998,8238.17249999998
15,8237.28349999998,8238.17249999998,8243.188999999988
16,8238.17249999998,8243.188999999988,8244.839999999991
17,8243.188999999988,8244.839999999991,8247.25299999999
18,8244.839999999991,8247.25299999999,8252.396499999986
19,8247.25299999999,8252.396499999986,8252.459999999986
20,8252.396499999986,8252.459999999986,8252.459999999986
21,8252.459999999986,8252.459999999986,8255.190499999986
22,8252.459999999986,8255.190499999986,8260.016499999983
23,8255.190499999986,8260.016499999983,8260.206999999984
24,8260.016499999983,8260.206999999984,8260.778499999982
25,8260.206999999984,8260.778499999982,8266.112499999983
26,8260.778499999982,8266.112499999983,8267.699999999983
27,8266.112499999983,8267.699999999983,8267.699999999983
28,8267.699999999983,8267.699999999983,8267.699999999983
29,8267.699999999983,8267.699999999983,7972.933000000003
30,8267.699999999983,7972.933000000003,6746.240000000001
31,7972.933000000003,6746.240000000001,5480.621500000002
32,6746.240000000001,5480.621500000002,4411.472000000009
33,5480.621500000002,4411.472000000009,4251.960000000009
34,4411.472000000009,4251.960000000009,4251.960000000008
35,4251.960000000009,4251.960000000008,6093.248333333333
36,4251.960000000008,6093.248333333333,6710.933999999982
37,6093.248333333333,6710.933999999982,7143.241999999987
38,6710.933999999982,7143.241999999987,8317.29350000001
39,7143.241999999987,8317.29350000001,8542.972499999983
40,8317.29350000001,8542.972499999983,8663.876499999973
41,8542.972499999983,8663.876499999973,8657.335999999978
42,8663.876499999973,8657.335999999978,8624.950999999997
43,8657.335999999978,8624.950999999997,8183.943499999999
44,8624.950999999997,8183.943499999999,7320.28
45,8183.943499999999,7320.28,6273.3555
46,7320.28,6273.3555,5271.038135593221
47,6273.3555,5271.038135593221,4302.696499999999
48,5271.038135593221,4302.696499999999,3225.4825
49,4302.696499999999,3225.4825,2036.2545000000002
50,3225.4825,2036.2545000000002,1211.3894999999989
51,2036.2545000000002,1211.3894999999989,977.0110000000001
52,1211.3894999999989,977.0110000000001,507.6825000000004
53,977.0110000000001,507.6825000000004,327.6600000000005
54,507.6825000000004,327.6600000000005,327.6600000000005
55,327.6600000000005,327.6600000000005,327.6599999999999
56,327.6600000000005,327.6599999999999,1052.9887500000002
57,327.6599999999999,1052.9887500000002,3030.473999999999
58,1052.9887500000002,3030.473999999999,5047.297500000001
59,3030.473999999999,5047.297500000001,6459.918500000002
60,5047.297500000001,6459.918500000002,7748.143000000001
61,6459.918500000002,7748.143000000001,8232.965500000008
62,7748.143000000001,8232.965500000008,8296.00285714288
63,8232.965500000008,8296.00285714288,8301.79950000002
64,8296.00285714288,8301.79950000002,8307.451000000017
65,8301.79950000002,8307.451000000017,8313.356500000016
66,8307.451000000017,8313.356500000016,8317.230000000014
67,8313.356500000016,8317.230000000014,8320.913000000013
68,8317.230000000014,8320.913000000013,8323.008500000013
69,8320.913000000013,8323.008500000013,8328.660000000009
70,8323.008500000013,8328.660000000009,8332.152500000013
71,8328.660000000009,8332.152500000013,8336.28000000002
72,8332.152500000013,8336.28000000002,8339.709000000019
73,8336.28000000002,8339.709000000019,8343.900000000016
74,8339.709000000019,8343.900000000016,8343.900000000016
