,time,lat,lon,velocity,heading,flight_number,signature
0,1645462433,41.08719131,-73.68917292,45.79707508,1.287328942,0,0
1,1645462434,41.08786011,-73.68914795,47.843292,0.0,0,0
2,1645462435,41.08786011,-73.68914795,47.843292,0.0,0,0
3,1645462436,41.08786011,-73.68914795,47.843292,0.0,0,0
4,1645462437,41.08895874,-73.68914795,47.843292,0.0,0,0
5,1645462438,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
6,1645462439,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
7,1645462440,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
8,1645462441,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
9,1645462442,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
10,1645462443,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
11,1645462444,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
12,1645462445,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
13,1645462446,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
14,1645462447,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
15,1645462448,41.08895874,-73.68914795,48.91548242,357.5889703,0,0
16,1645462449,41.0944069,-73.68936019,45.34408755,356.7480544,0,0
17,1645462450,41.09477234,-73.68939209,45.37617717,356.0995063,0,0
18,1645462451,41.09524484,-73.68948503,45.45775763,354.8055711,0,0
19,1645462452,41.09524484,-73.68948503,45.45775763,354.8055711,0,0
20,1645462453,41.09524484,-73.68948503,45.45775763,354.8055711,0,0
21,1645462454,41.09612934,-73.68954745,45.45775763,354.8055711,0,0
22,1645462455,41.09612934,-73.68954745,45.45775763,354.8055711,0,0
23,1645462456,41.09719849,-73.68963623,45.45775763,354.8055711,0,0
24,1645462457,41.09761047,-73.68969727,47.42939329,356.268603,0,0
25,1645462458,41.09761047,-73.68969727,47.9123878,356.9225446,0,0
26,1645462459,41.09868971,-73.68973472,48.91548242,357.5889703,0,0
27,1645462460,41.09868971,-73.68973472,48.91548242,357.5889703,0,0
28,1645462461,41.09868971,-73.68973472,48.91548242,357.5889703,0,0
29,1645462462,41.09868971,-73.68973472,48.91548242,357.5889703,0,0
30,1645462463,41.10035706,-73.68969727,49.42947574,2.38594403,0,0
31,1645462464,41.1005518,-73.6896723,49.60318027,5.355825043,0,0
32,1645462465,41.10101732,-73.68960987,49.26053143,7.199233638,0,0
33,1645462466,41.1016225,-73.68954745,49.47763959,8.972626615,0,0
34,1645462467,41.10204147,-73.68942261,49.74170715,10.7288593,0,0
35,1645462468,41.10204147,-73.68942261,59.94347835,13.88865804,0,1
36,1645462469,41.10204147,-73.68942261,49.94347835,11.88865804,0,0
37,1645462470,41.10314941,-73.68908691,50.31304401,16.02586745,0,0
38,1645462471,41.10314941,-73.68908691,50.31304401,16.02586745,0,0
39,1645462472,41.10422943,-73.68867354,50.60675342,17.14555092,0,0
40,1645462473,41.10483461,-73.68842385,50.76079193,17.70042779,0,0
41,1645462474,41.10525513,-73.68823242,50.91956213,18.25189584,0,0
42,1645462475,41.10566711,-73.68804932,51.57028476,18.61569201,0,0
43,1645462476,41.10590531,-73.68792447,51.57028476,18.61569201,0,0
44,1645462477,41.10630798,-73.68774414,51.7368021,19.15561245,0,0
45,1645462478,41.10697601,-73.68742509,52.08348537,20.22485943,0,0
46,1645462479,41.10739498,-73.68723783,52.08348537,20.22485943,0,0
47,1645462480,41.1078605,-73.68698814,52.08348537,20.22485943,0,0
48,1645462481,41.10832214,-73.68676758,52.44806409,21.27960443,0,0
49,1645462482,41.10832214,-73.68676758,52.63694876,21.80140949,0,0
50,1645462483,41.10879155,-73.68648876,52.63694876,21.80140949,0,0
51,1645462484,41.10946655,-73.68615723,53.30642812,22.10944834,0,0
52,1645462485,41.11010742,-73.68579102,53.70213869,23.12652039,0,0
53,1645462486,41.11046743,-73.68555242,53.43535548,23.85047391,0,0
54,1645462487,41.11046743,-73.68555242,53.43535548,23.85047391,0,0
55,1645462488,41.11097717,-73.68530273,53.64543493,24.35300918,0,0
56,1645462489,41.11157227,-73.68493652,53.64543493,24.35300918,0,0
57,1645462490,41.11214331,-73.68455367,53.64543493,24.35300918,0,0
58,1645462491,41.11262512,-73.68426514,53.43535548,23.85047391,0,0
59,1645462492,41.11308289,-73.684021,53.229419,23.34401096,0,0
60,1645462493,41.11354065,-73.68377686,53.229419,23.34401096,0,0
61,1645462494,41.1140054,-73.68349249,53.02767376,22.83365418,0,0
62,1645462495,41.11442437,-73.68330522,52.83016777,22.31944039,0,0
63,1645462496,41.11482239,-73.68304443,52.63694876,21.80140949,0,0
64,1645462497,41.11530886,-73.68280584,52.63694876,21.80140949,0,0
65,1645462498,41.11578369,-73.68255615,52.63694876,21.80140949,0,0
66,1645462499,41.11600714,-73.68243131,52.63694876,21.80140949,0,0
67,1645462500,41.11642456,-73.68225098,53.22693298,20.36160328,0,0
68,1645462501,41.1171244,-73.68193193,53.05012779,19.84069808,0,0
69,1645462502,41.11754337,-73.68174466,53.3634921,19.13364321,0,0
70,1645462503,41.11800889,-73.68149497,53.3634921,19.13364321,0,0
71,1645462504,41.11843872,-73.68133545,53.68488736,18.43494882,0,0
72,1645462505,41.11903304,-73.68105802,53.52443097,17.91250939,0,0
73,1645462506,41.1194458,-73.6809082,53.36845131,17.38697218,0,0
74,1645462507,41.11987098,-73.68074591,53.85960887,17.22343619,0,0
75,1645462508,41.12028995,-73.68055864,53.70953042,16.69924423,0,0
76,1645462509,41.12028995,-73.68055864,53.70953042,16.69924423,0,0
77,1645462510,41.12094168,-73.68030895,53.70953042,16.69924423,0,0
78,1645462511,41.12094168,-73.68030895,53.70953042,16.69924423,0,0
79,1645462512,41.12191772,-73.67993164,53.21698774,16.85839877,0,0
80,1645462513,41.12255859,-73.67962646,53.21698774,16.85839877,0,0
81,1645462514,41.12301636,-73.67944336,53.36845131,17.38697218,0,0
82,1645462515,41.12319946,-73.67938232,53.03515949,18.08344538,0,0
83,1645462516,41.12387447,-73.6790605,53.19709168,18.61016473,0,0
84,1645462517,41.12433999,-73.67887324,53.3634921,19.13364321,0,0
85,1645462518,41.12480552,-73.67868597,53.53431909,19.65382406,0,0
86,1645462519,41.12531759,-73.67837386,53.40810834,20.87901688,0,0
87,1645462520,41.12576294,-73.67822266,53.40810834,20.87901688,0,0
88,1645462521,41.12576294,-73.67822266,54.07293451,21.19405648,0,0
89,1645462522,41.12644958,-73.67779541,54.26104034,21.70053674,0,0
90,1645462523,41.12644958,-73.67779541,54.26104034,21.70053674,0,0
91,1645462524,41.12644958,-73.67779541,54.73935574,21.50143432,0,0
92,1645462525,41.12809753,-73.67694092,54.73935574,21.50143432,0,0
93,1645462526,41.12834349,-73.6768133,55.21832069,21.30578362,0,0
94,1645462527,41.12880901,-73.67662603,55.21832069,21.30578362,0,0
95,1645462528,41.12924194,-73.6763916,55.33562071,20.11963314,0,0
96,1645462529,41.12969971,-73.67614746,55.16077662,19.61787941,0,0
97,1645462530,41.13011247,-73.67593939,55.16077662,19.61787941,0,0
98,1645462531,41.13079834,-73.67565918,54.99018949,19.11297373,0,0
99,1645462532,41.13079834,-73.67565918,54.82389907,18.60496547,0,0
100,1645462533,41.13150904,-73.67531516,54.50436461,17.57985143,0,0
101,1645462534,41.13194275,-73.6751709,54.20247998,16.5429834,0,0
102,1645462535,41.13267517,-73.67486572,54.05824943,16.0202923,0,0
103,1645462536,41.13327026,-73.67468262,53.91854163,15.4948486,0,0
104,1645462537,41.13363647,-73.67456055,53.78339183,14.96671956,0,0
105,1645462538,41.13409424,-73.67437744,53.65283447,14.43597498,0,0
106,1645462539,41.13458149,-73.67419156,53.02767376,14.03624347,0,0
107,1645462540,41.13458149,-73.67419156,53.02767376,14.03624347,0,0
108,1645462541,41.13551253,-73.67387945,52.90525688,13.49573328,0,0
109,1645462542,41.13597107,-73.67376709,53.40563064,13.3669307,0,0
110,1645462543,41.13597107,-73.67376709,53.40563064,13.3669307,0,0
111,1645462544,41.13597107,-73.67376709,53.40563064,13.3669307,0,0
112,1645462545,41.13709531,-73.67338007,53.40563064,13.3669307,0,0
113,1645462546,41.13780212,-73.67315674,53.90626928,13.24051992,0,0
114,1645462547,41.13830566,-73.67303467,53.90626928,13.24051992,0,0
115,1645462548,41.13830566,-73.67303467,54.40716549,13.11643613,0,0
116,1645462549,41.13937637,-73.67269343,54.18294579,12.05676253,0,0
117,1645462550,41.13956257,-73.672631,54.58199929,11.41583952,0,0
118,1645462551,41.14009094,-73.67248535,54.58199929,11.41583952,0,0
119,1645462552,41.14009094,-73.67248535,54.58199929,11.41583952,0,0
120,1645462553,41.14123846,-73.67219405,54.58199929,11.41583952,0,0
