,window,mean_geoaltitude
0,"Row(start=datetime.datetime(2022, 2, 21, 10, 36), end=datetime.datetime(2022, 2, 21, 10, 38))",1059.18
1,"Row(start=datetime.datetime(2022, 2, 21, 10, 38), end=datetime.datetime(2022, 2, 21, 10, 40))",1043.6225000000004
2,"Row(start=datetime.datetime(2022, 2, 21, 10, 40), end=datetime.datetime(2022, 2, 21, 10, 42))",1008.3800000000016
3,"Row(start=datetime.datetime(2022, 2, 21, 10, 42), end=datetime.datetime(2022, 2, 21, 10, 44))",1037.0184999999997
4,"Row(start=datetime.datetime(2022, 2, 21, 10, 44), end=datetime.datetime(2022, 2, 21, 10, 46))",1056.576499999998
5,"Row(start=datetime.datetime(2022, 2, 21, 10, 46), end=datetime.datetime(2022, 2, 21, 10, 48))",1041.7174999999988
6,"Row(start=datetime.datetime(2022, 2, 21, 10, 48), end=datetime.datetime(2022, 2, 21, 10, 50))",1030.350999999998
7,"Row(start=datetime.datetime(2022, 2, 21, 10, 50), end=datetime.datetime(2022, 2, 21, 10, 52))",990.8540000000024
8,"Row(start=datetime.datetime(2022, 2, 21, 10, 52), end=datetime.datetime(2022, 2, 21, 10, 54))",851.9160000000006
9,"Row(start=datetime.datetime(2022, 2, 21, 10, 54), end=datetime.datetime(2022, 2, 21, 10, 56))",711.199999999999
10,"Row(start=datetime.datetime(2022, 2, 21, 10, 56), end=datetime.datetime(2022, 2, 21, 10, 58))",693.4199999999986
11,"Row(start=datetime.datetime(2022, 2, 21, 10, 58), end=datetime.datetime(2022, 2, 21, 11, 0))",693.4199999999987
12,"Row(start=datetime.datetime(2022, 2, 26, 13, 8), end=datetime.datetime(2022, 2, 26, 13, 10))",639.9388888888896
13,"Row(start=datetime.datetime(2022, 2, 26, 13, 10), end=datetime.datetime(2022, 2, 26, 13, 12))",997.7119999999996
14,"Row(start=datetime.datetime(2022, 2, 26, 13, 12), end=datetime.datetime(2022, 2, 26, 13, 14))",1231.8999999999999
15,"Row(start=datetime.datetime(2022, 2, 26, 13, 14), end=datetime.datetime(2022, 2, 26, 13, 16))",1279.0170000000028
16,"Row(start=datetime.datetime(2022, 2, 26, 13, 16), end=datetime.datetime(2022, 2, 26, 13, 18))",1279.778999999999
17,"Row(start=datetime.datetime(2022, 2, 26, 13, 18), end=datetime.datetime(2022, 2, 26, 13, 20))",1285.3670000000018
18,"Row(start=datetime.datetime(2022, 2, 26, 14, 10), end=datetime.datetime(2022, 2, 26, 14, 12))",1005.7384000000001
19,"Row(start=datetime.datetime(2022, 2, 26, 14, 12), end=datetime.datetime(2022, 2, 26, 14, 14))",1043.9400000000016
20,"Row(start=datetime.datetime(2022, 2, 26, 14, 14), end=datetime.datetime(2022, 2, 26, 14, 16))",1043.9400000000016
21,"Row(start=datetime.datetime(2022, 2, 26, 14, 16), end=datetime.datetime(2022, 2, 26, 14, 18))",1043.9400000000016
22,"Row(start=datetime.datetime(2022, 2, 26, 14, 18), end=datetime.datetime(2022, 2, 26, 14, 20))",1080.8969999999995
23,"Row(start=datetime.datetime(2022, 2, 26, 14, 20), end=datetime.datetime(2022, 2, 26, 14, 22))",1074.4199999999985
24,"Row(start=datetime.datetime(2022, 2, 26, 14, 22), end=datetime.datetime(2022, 2, 26, 14, 24))",1074.4199999999985
25,"Row(start=datetime.datetime(2022, 2, 26, 14, 24), end=datetime.datetime(2022, 2, 26, 14, 26))",1074.4199999999985
26,"Row(start=datetime.datetime(2022, 2, 26, 14, 26), end=datetime.datetime(2022, 2, 26, 14, 28))",1074.4199999999987
