,window,mean_geoaltitude
0,"Row(start=datetime.datetime(2022, 2, 19, 8, 2), end=datetime.datetime(2022, 2, 19, 8, 4))",355.6437931034482
1,"Row(start=datetime.datetime(2022, 2, 19, 8, 4), end=datetime.datetime(2022, 2, 19, 8, 6))",746.9505000000001
2,"Row(start=datetime.datetime(2022, 2, 19, 8, 6), end=datetime.datetime(2022, 2, 19, 8, 8))",1056.7669999999994
3,"Row(start=datetime.datetime(2022, 2, 19, 8, 8), end=datetime.datetime(2022, 2, 19, 8, 10))",1055.1795000000006
4,"Row(start=datetime.datetime(2022, 2, 19, 8, 10), end=datetime.datetime(2022, 2, 19, 8, 12))",1012.9519999999991
5,"Row(start=datetime.datetime(2022, 2, 19, 8, 12), end=datetime.datetime(2022, 2, 19, 8, 14))",1015.3650000000014
6,"Row(start=datetime.datetime(2022, 2, 19, 8, 14), end=datetime.datetime(2022, 2, 19, 8, 16))",1323.2129999999993
7,"Row(start=datetime.datetime(2022, 2, 19, 8, 16), end=datetime.datetime(2022, 2, 19, 8, 18))",1083.817999999999
8,"Row(start=datetime.datetime(2022, 2, 19, 8, 18), end=datetime.datetime(2022, 2, 19, 8, 20))",1090.0410000000024
9,"Row(start=datetime.datetime(2022, 2, 19, 8, 20), end=datetime.datetime(2022, 2, 19, 8, 22))",1088.6440000000007
10,"Row(start=datetime.datetime(2022, 2, 19, 8, 22), end=datetime.datetime(2022, 2, 19, 8, 24))",1097.1529999999989
11,"Row(start=datetime.datetime(2022, 2, 19, 8, 24), end=datetime.datetime(2022, 2, 19, 8, 26))",1105.5984999999996
12,"Row(start=datetime.datetime(2022, 2, 19, 8, 26), end=datetime.datetime(2022, 2, 19, 8, 28))",1106.9319999999975
13,"Row(start=datetime.datetime(2022, 2, 19, 8, 28), end=datetime.datetime(2022, 2, 19, 8, 30))",1056.8939999999975
14,"Row(start=datetime.datetime(2022, 2, 19, 8, 30), end=datetime.datetime(2022, 2, 19, 8, 32))",935.7359999999995
15,"Row(start=datetime.datetime(2022, 2, 19, 8, 32), end=datetime.datetime(2022, 2, 19, 8, 34))",929.6399999999995
16,"Row(start=datetime.datetime(2022, 2, 19, 8, 34), end=datetime.datetime(2022, 2, 19, 8, 36))",929.6399999999995
17,"Row(start=datetime.datetime(2022, 2, 19, 10, 12), end=datetime.datetime(2022, 2, 19, 10, 14))",1029.3823880597017
18,"Row(start=datetime.datetime(2022, 2, 19, 10, 14), end=datetime.datetime(2022, 2, 19, 10, 16))",1462.0240000000008
19,"Row(start=datetime.datetime(2022, 2, 19, 10, 16), end=datetime.datetime(2022, 2, 19, 10, 18))",1676.7810000000006
20,"Row(start=datetime.datetime(2022, 2, 19, 10, 18), end=datetime.datetime(2022, 2, 19, 10, 20))",1654.4925000000019
21,"Row(start=datetime.datetime(2022, 2, 19, 10, 20), end=datetime.datetime(2022, 2, 19, 10, 22))",1676.7174999999984
22,"Row(start=datetime.datetime(2022, 2, 19, 10, 22), end=datetime.datetime(2022, 2, 19, 10, 24))",1671.7645000000007
23,"Row(start=datetime.datetime(2022, 2, 19, 10, 24), end=datetime.datetime(2022, 2, 19, 10, 26))",1674.6855000000005
24,"Row(start=datetime.datetime(2022, 2, 19, 10, 26), end=datetime.datetime(2022, 2, 19, 10, 28))",1604.4544999999996
25,"Row(start=datetime.datetime(2022, 2, 19, 10, 28), end=datetime.datetime(2022, 2, 19, 10, 30))",1538.3510000000015
26,"Row(start=datetime.datetime(2022, 2, 19, 10, 30), end=datetime.datetime(2022, 2, 19, 10, 32))",1312.8624999999986
27,"Row(start=datetime.datetime(2022, 2, 19, 10, 32), end=datetime.datetime(2022, 2, 19, 10, 34))",1181.9254999999987
28,"Row(start=datetime.datetime(2022, 2, 19, 10, 34), end=datetime.datetime(2022, 2, 19, 10, 36))",1172.2633613445378
29,"Row(start=datetime.datetime(2022, 2, 19, 10, 36), end=datetime.datetime(2022, 2, 19, 10, 38))",1114.425
30,"Row(start=datetime.datetime(2022, 2, 19, 10, 38), end=datetime.datetime(2022, 2, 19, 10, 40))",933.0054999999992
31,"Row(start=datetime.datetime(2022, 2, 19, 10, 40), end=datetime.datetime(2022, 2, 19, 10, 42))",842.1370000000013
32,"Row(start=datetime.datetime(2022, 2, 19, 10, 42), end=datetime.datetime(2022, 2, 19, 10, 44))",844.3595000000006
33,"Row(start=datetime.datetime(2022, 2, 19, 10, 44), end=datetime.datetime(2022, 2, 19, 10, 46))",774.2554999999992
34,"Row(start=datetime.datetime(2022, 2, 19, 10, 46), end=datetime.datetime(2022, 2, 19, 10, 48))",557.784
35,"Row(start=datetime.datetime(2022, 2, 19, 10, 48), end=datetime.datetime(2022, 2, 19, 10, 50))",317.1189999999999
36,"Row(start=datetime.datetime(2022, 2, 19, 10, 50), end=datetime.datetime(2022, 2, 19, 10, 52))",205.7400000000004
37,"Row(start=datetime.datetime(2022, 2, 19, 10, 52), end=datetime.datetime(2022, 2, 19, 10, 54))",205.7400000000004
38,"Row(start=datetime.datetime(2022, 2, 19, 10, 54), end=datetime.datetime(2022, 2, 19, 10, 56))",205.73999999999984
39,"Row(start=datetime.datetime(2022, 2, 19, 12, 10), end=datetime.datetime(2022, 2, 19, 12, 12))",685.7999999999998
40,"Row(start=datetime.datetime(2022, 2, 19, 12, 12), end=datetime.datetime(2022, 2, 19, 12, 14))",685.8000000000015
41,"Row(start=datetime.datetime(2022, 2, 19, 12, 14), end=datetime.datetime(2022, 2, 19, 12, 16))",685.8000000000015
42,"Row(start=datetime.datetime(2022, 2, 19, 12, 16), end=datetime.datetime(2022, 2, 19, 12, 18))",685.7999999999998
43,"Row(start=datetime.datetime(2022, 2, 19, 12, 36), end=datetime.datetime(2022, 2, 19, 12, 38))",751.2326086956524
44,"Row(start=datetime.datetime(2022, 2, 19, 12, 38), end=datetime.datetime(2022, 2, 19, 12, 40))",823.4680000000018
45,"Row(start=datetime.datetime(2022, 2, 19, 12, 40), end=datetime.datetime(2022, 2, 19, 12, 42))",812.8635
46,"Row(start=datetime.datetime(2022, 2, 19, 12, 42), end=datetime.datetime(2022, 2, 19, 12, 44))",856.6149999999975
47,"Row(start=datetime.datetime(2022, 2, 19, 12, 44), end=datetime.datetime(2022, 2, 19, 12, 46))",827.5955
48,"Row(start=datetime.datetime(2022, 2, 19, 12, 46), end=datetime.datetime(2022, 2, 19, 12, 48))",804.6085000000002
49,"Row(start=datetime.datetime(2022, 2, 19, 12, 48), end=datetime.datetime(2022, 2, 19, 12, 50))",836.6759999999982
50,"Row(start=datetime.datetime(2022, 2, 19, 12, 50), end=datetime.datetime(2022, 2, 19, 12, 52))",838.1999999999983
51,"Row(start=datetime.datetime(2022, 2, 19, 12, 52), end=datetime.datetime(2022, 2, 19, 12, 54))",838.1999999999991
52,"Row(start=datetime.datetime(2022, 2, 19, 15, 46), end=datetime.datetime(2022, 2, 19, 15, 48))",829.31
53,"Row(start=datetime.datetime(2022, 2, 19, 15, 48), end=datetime.datetime(2022, 2, 19, 15, 50))",830.5800000000014
54,"Row(start=datetime.datetime(2022, 2, 19, 15, 50), end=datetime.datetime(2022, 2, 19, 15, 52))",830.5800000000014
55,"Row(start=datetime.datetime(2022, 2, 19, 15, 52), end=datetime.datetime(2022, 2, 19, 15, 54))",830.5800000000011
56,"Row(start=datetime.datetime(2022, 2, 19, 15, 56), end=datetime.datetime(2022, 2, 19, 15, 58))",818.363809523808
57,"Row(start=datetime.datetime(2022, 2, 19, 15, 58), end=datetime.datetime(2022, 2, 19, 16, 0))",814.8955000000009
58,"Row(start=datetime.datetime(2022, 2, 19, 16, 0), end=datetime.datetime(2022, 2, 19, 16, 2))",803.6169230769241
59,"Row(start=datetime.datetime(2022, 2, 19, 16, 2), end=datetime.datetime(2022, 2, 19, 16, 4))",919.4164999999999
60,"Row(start=datetime.datetime(2022, 2, 19, 16, 4), end=datetime.datetime(2022, 2, 19, 16, 6))",904.8750000000011
61,"Row(start=datetime.datetime(2022, 2, 19, 16, 6), end=datetime.datetime(2022, 2, 19, 16, 8))",842.7085000000002
62,"Row(start=datetime.datetime(2022, 2, 19, 16, 8), end=datetime.datetime(2022, 2, 19, 16, 10))",822.0709999999992
63,"Row(start=datetime.datetime(2022, 2, 19, 16, 10), end=datetime.datetime(2022, 2, 19, 16, 12))",819.5944999999991
64,"Row(start=datetime.datetime(2022, 2, 19, 16, 12), end=datetime.datetime(2022, 2, 19, 16, 14))",710.247499999999
65,"Row(start=datetime.datetime(2022, 2, 19, 16, 14), end=datetime.datetime(2022, 2, 19, 16, 16))",701.0399999999992
66,"Row(start=datetime.datetime(2022, 2, 19, 16, 16), end=datetime.datetime(2022, 2, 19, 16, 18))",701.0400000000006
67,"Row(start=datetime.datetime(2022, 2, 19, 16, 18), end=datetime.datetime(2022, 2, 19, 16, 20))",807.2306422018341
68,"Row(start=datetime.datetime(2022, 2, 19, 16, 20), end=datetime.datetime(2022, 2, 19, 16, 22))",845.5024999999993
69,"Row(start=datetime.datetime(2022, 2, 19, 16, 22), end=datetime.datetime(2022, 2, 19, 16, 24))",834.1995
70,"Row(start=datetime.datetime(2022, 2, 19, 16, 24), end=datetime.datetime(2022, 2, 19, 16, 26))",846.8360000000013
71,"Row(start=datetime.datetime(2022, 2, 19, 16, 26), end=datetime.datetime(2022, 2, 19, 16, 28))",846.6455000000018
72,"Row(start=datetime.datetime(2022, 2, 19, 16, 28), end=datetime.datetime(2022, 2, 19, 16, 30))",743.9025
73,"Row(start=datetime.datetime(2022, 2, 19, 16, 30), end=datetime.datetime(2022, 2, 19, 16, 32))",731.52
74,"Row(start=datetime.datetime(2022, 2, 19, 16, 32), end=datetime.datetime(2022, 2, 19, 16, 34))",731.519999999999
75,"Row(start=datetime.datetime(2022, 2, 20, 11, 36), end=datetime.datetime(2022, 2, 20, 11, 38))",305.8098795180723
76,"Row(start=datetime.datetime(2022, 2, 20, 11, 38), end=datetime.datetime(2022, 2, 20, 11, 40))",407.9240000000002
77,"Row(start=datetime.datetime(2022, 2, 20, 11, 40), end=datetime.datetime(2022, 2, 20, 11, 42))",410.27350000000024
78,"Row(start=datetime.datetime(2022, 2, 20, 11, 42), end=datetime.datetime(2022, 2, 20, 11, 44))",403.03450000000043
79,"Row(start=datetime.datetime(2022, 2, 20, 11, 44), end=datetime.datetime(2022, 2, 20, 11, 46))",404.43150000000026
80,"Row(start=datetime.datetime(2022, 2, 20, 11, 46), end=datetime.datetime(2022, 2, 20, 11, 48))",417.2584999999999
81,"Row(start=datetime.datetime(2022, 2, 20, 11, 48), end=datetime.datetime(2022, 2, 20, 11, 50))",257.30199999999996
82,"Row(start=datetime.datetime(2022, 2, 20, 11, 50), end=datetime.datetime(2022, 2, 20, 11, 52))",92.83700000000012
83,"Row(start=datetime.datetime(2022, 2, 20, 11, 52), end=datetime.datetime(2022, 2, 20, 11, 54))",7.620000000000004
84,"Row(start=datetime.datetime(2022, 2, 20, 11, 54), end=datetime.datetime(2022, 2, 20, 11, 56))",7.620000000000004
85,"Row(start=datetime.datetime(2022, 2, 20, 11, 56), end=datetime.datetime(2022, 2, 20, 11, 58))",7.620000000000003
86,"Row(start=datetime.datetime(2022, 2, 20, 13, 18), end=datetime.datetime(2022, 2, 20, 13, 20))",1214.1653571428567
87,"Row(start=datetime.datetime(2022, 2, 20, 13, 20), end=datetime.datetime(2022, 2, 20, 13, 22))",1320.863499999999
88,"Row(start=datetime.datetime(2022, 2, 20, 13, 22), end=datetime.datetime(2022, 2, 20, 13, 24))",1361.1860000000008
89,"Row(start=datetime.datetime(2022, 2, 20, 13, 24), end=datetime.datetime(2022, 2, 20, 13, 26))",1368.425
90,"Row(start=datetime.datetime(2022, 2, 20, 13, 26), end=datetime.datetime(2022, 2, 20, 13, 28))",1354.454999999999
91,"Row(start=datetime.datetime(2022, 2, 20, 13, 28), end=datetime.datetime(2022, 2, 20, 13, 30))",1356.0424999999996
92,"Row(start=datetime.datetime(2022, 2, 20, 13, 30), end=datetime.datetime(2022, 2, 20, 13, 32))",1335.4684999999993
93,"Row(start=datetime.datetime(2022, 2, 20, 13, 32), end=datetime.datetime(2022, 2, 20, 13, 34))",1341.5644999999977
94,"Row(start=datetime.datetime(2022, 2, 20, 13, 34), end=datetime.datetime(2022, 2, 20, 13, 36))",1341.1199999999978
95,"Row(start=datetime.datetime(2022, 2, 20, 13, 36), end=datetime.datetime(2022, 2, 20, 13, 38))",1341.1199999999994
96,"Row(start=datetime.datetime(2022, 2, 20, 13, 44), end=datetime.datetime(2022, 2, 20, 13, 46))",257.4925
97,"Row(start=datetime.datetime(2022, 2, 20, 13, 46), end=datetime.datetime(2022, 2, 20, 13, 48))",514.5578181818186
98,"Row(start=datetime.datetime(2022, 2, 20, 13, 48), end=datetime.datetime(2022, 2, 20, 13, 50))",409.0670000000004
99,"Row(start=datetime.datetime(2022, 2, 20, 13, 50), end=datetime.datetime(2022, 2, 20, 13, 52))",410.9720000000005
100,"Row(start=datetime.datetime(2022, 2, 20, 13, 52), end=datetime.datetime(2022, 2, 20, 13, 54))",399.85950000000076
101,"Row(start=datetime.datetime(2022, 2, 20, 13, 54), end=datetime.datetime(2022, 2, 20, 13, 56))",411.9880000000002
102,"Row(start=datetime.datetime(2022, 2, 20, 13, 56), end=datetime.datetime(2022, 2, 20, 13, 58))",383.54000000000013
103,"Row(start=datetime.datetime(2022, 2, 20, 13, 58), end=datetime.datetime(2022, 2, 20, 14, 0))",326.0090000000003
104,"Row(start=datetime.datetime(2022, 2, 20, 14, 0), end=datetime.datetime(2022, 2, 20, 14, 2))",278.99445378151273
105,"Row(start=datetime.datetime(2022, 2, 20, 14, 2), end=datetime.datetime(2022, 2, 20, 14, 4))",166.7647297297296
106,"Row(start=datetime.datetime(2022, 2, 20, 14, 4), end=datetime.datetime(2022, 2, 20, 14, 6))",394.5255000000007
107,"Row(start=datetime.datetime(2022, 2, 20, 14, 6), end=datetime.datetime(2022, 2, 20, 14, 8))",582.3142424242426
108,"Row(start=datetime.datetime(2022, 2, 20, 14, 8), end=datetime.datetime(2022, 2, 20, 14, 10))",789.1779999999992
109,"Row(start=datetime.datetime(2022, 2, 20, 14, 10), end=datetime.datetime(2022, 2, 20, 14, 12))",786.3205000000004
110,"Row(start=datetime.datetime(2022, 2, 20, 14, 12), end=datetime.datetime(2022, 2, 20, 14, 14))",735.0760000000006
111,"Row(start=datetime.datetime(2022, 2, 20, 14, 14), end=datetime.datetime(2022, 2, 20, 14, 16))",610.7429999999996
112,"Row(start=datetime.datetime(2022, 2, 20, 14, 16), end=datetime.datetime(2022, 2, 20, 14, 18))",585.2160000000001
113,"Row(start=datetime.datetime(2022, 2, 20, 14, 18), end=datetime.datetime(2022, 2, 20, 14, 20))",532.2570000000002
114,"Row(start=datetime.datetime(2022, 2, 20, 14, 20), end=datetime.datetime(2022, 2, 20, 14, 22))",633.2855
115,"Row(start=datetime.datetime(2022, 2, 20, 14, 22), end=datetime.datetime(2022, 2, 20, 14, 24))",506.7300000000012
116,"Row(start=datetime.datetime(2022, 2, 20, 14, 24), end=datetime.datetime(2022, 2, 20, 14, 26))",495.30000000000103
117,"Row(start=datetime.datetime(2022, 2, 20, 14, 26), end=datetime.datetime(2022, 2, 20, 14, 28))",538.9244999999996
118,"Row(start=datetime.datetime(2022, 2, 20, 14, 28), end=datetime.datetime(2022, 2, 20, 14, 30))",617.7915000000002
119,"Row(start=datetime.datetime(2022, 2, 20, 14, 30), end=datetime.datetime(2022, 2, 20, 14, 32))",508.12700000000075
120,"Row(start=datetime.datetime(2022, 2, 20, 14, 32), end=datetime.datetime(2022, 2, 20, 14, 34))",638.6829999999995
121,"Row(start=datetime.datetime(2022, 2, 20, 14, 34), end=datetime.datetime(2022, 2, 20, 14, 36))",576.5165000000002
122,"Row(start=datetime.datetime(2022, 2, 20, 14, 36), end=datetime.datetime(2022, 2, 20, 14, 38))",533.400000000001
123,"Row(start=datetime.datetime(2022, 2, 20, 14, 38), end=datetime.datetime(2022, 2, 20, 14, 40))",533.400000000001
124,"Row(start=datetime.datetime(2022, 2, 20, 14, 40), end=datetime.datetime(2022, 2, 20, 14, 42))",533.4
125,"Row(start=datetime.datetime(2022, 2, 20, 14, 46), end=datetime.datetime(2022, 2, 20, 14, 48))",116.26645161290325
126,"Row(start=datetime.datetime(2022, 2, 20, 14, 48), end=datetime.datetime(2022, 2, 20, 14, 50))",122.49150000000006
127,"Row(start=datetime.datetime(2022, 2, 20, 14, 50), end=datetime.datetime(2022, 2, 20, 14, 52))",230.44149999999982
128,"Row(start=datetime.datetime(2022, 2, 20, 14, 52), end=datetime.datetime(2022, 2, 20, 14, 54))",371.47499999999974
129,"Row(start=datetime.datetime(2022, 2, 20, 14, 54), end=datetime.datetime(2022, 2, 20, 14, 56))",374.39599999999996
130,"Row(start=datetime.datetime(2022, 2, 20, 14, 56), end=datetime.datetime(2022, 2, 20, 14, 58))",376.4279999999998
131,"Row(start=datetime.datetime(2022, 2, 20, 14, 58), end=datetime.datetime(2022, 2, 20, 15, 0))",351.7264999999998
132,"Row(start=datetime.datetime(2022, 2, 20, 15, 0), end=datetime.datetime(2022, 2, 20, 15, 2))",248.00218487394986
133,"Row(start=datetime.datetime(2022, 2, 20, 15, 2), end=datetime.datetime(2022, 2, 20, 15, 4))",136.46150000000006
134,"Row(start=datetime.datetime(2022, 2, 20, 15, 4), end=datetime.datetime(2022, 2, 20, 15, 6))",84.39149999999987
135,"Row(start=datetime.datetime(2022, 2, 20, 15, 6), end=datetime.datetime(2022, 2, 20, 15, 8))",112.64899999999994
