,window,mean_geoaltitude,mean_velocity
0,2,1214.165357,47.67153843
1,2,1320.8635,53.25858337
2,2,1361.186,57.9520576
3,2,1368.425,60.52901298
4,2,1354.455,60.88966417
5,2,1356.0425,60.15135163
6,2,1335.4685,60.16591271
7,2,1341.5645,60.1252613
8,2,1341.12,60.13936173
9,2,1341.12,60.13936173
10,2,1640.912571,71.62956988
11,2,1634.109,72.77811466
12,2,1630.045,73.84421649
13,2,1647.825,73.08229673
14,2,1628.648,73.66865426
15,2,1605.2165,74.51291683
16,2,1381.379,80.04288459
17,2,1264.6025,70.42960408
18,2,1264.92,69.81670376
19,2,1264.92,69.81670376
20,2,1011.428,59.33568354
21,2,982.98,72.20565625
23,2,702.8688,61.84186273
24,2,730.5675,57.73360998
25,2,741.68,52.84198637
26,2,754.38,34.98597447
27,2,754.38,34.98597447
28,2,754.38,34.98597447
