,time,Latitude,Longitude,signature_label,icao24,trip_number
0,1645295833,39.73374938964844,-84.85111402428669,0,adc0fb,1
1,1645295834,39.733405678959215,-84.85089111328125,0,adc0fb,1
2,1645295835,39.73294015658104,-84.85052490234375,0,adc0fb,1
3,1645295836,39.732696533203125,-84.85033781632131,0,adc0fb,1
4,1645295837,39.732696533203125,-84.85033781632131,0,adc0fb,1
5,1645295838,39.732696533203125,-84.85033781632131,0,adc0fb,1
6,1645295839,39.73150634765625,-84.84950190005094,0,adc0fb,1
7,1645295840,39.73150634765625,-84.84950190005094,0,adc0fb,1
8,1645295841,39.73063659667969,-84.84884510869563,0,adc0fb,1
9,1645295842,39.73063659667969,-84.84884510869563,0,adc0fb,1
10,1645295843,39.7299608133607,-84.84832763671875,0,adc0fb,1
11,1645295844,39.72958839545816,-84.8480224609375,0,adc0fb,1
12,1645295845,39.72958839545816,-84.8480224609375,0,adc0fb,1
13,1645295846,39.728668212890625,-84.84723298445994,0,adc0fb,1
14,1645295847,39.728302001953125,-84.84693444293475,0,adc0fb,1
15,1645295848,39.72789001464844,-84.84657619310462,0,adc0fb,1
16,1645295849,39.72752380371094,-84.8462776515795,0,adc0fb,1
17,1645295850,39.727294921875,-84.84609852666438,0,adc0fb,1
18,1645295851,39.72670215671345,-84.8455810546875,0,adc0fb,1
19,1645295852,39.72632973881091,-84.84527587890625,0,adc0fb,1
20,1645295853,39.72587585449219,-84.84490436056387,0,adc0fb,1
21,1645295854,39.725445246292374,-84.84454345703125,0,adc0fb,1
22,1645295855,39.725445246292374,-84.84454345703125,0,adc0fb,1
23,1645295856,39.725445246292374,-84.84454345703125,0,adc0fb,1
24,1645295857,39.725445246292374,-84.84454345703125,0,adc0fb,1
25,1645295858,39.725445246292374,-84.84454345703125,0,adc0fb,1
26,1645295859,39.725445246292374,-84.84454345703125,0,adc0fb,1
27,1645295860,39.725445246292374,-84.84454345703125,0,adc0fb,1
28,1645295861,39.725445246292374,-84.84454345703125,0,adc0fb,1
29,1645295862,39.725445246292374,-84.84454345703125,0,adc0fb,1
30,1645295863,39.72198486328125,-84.84162040378737,0,adc0fb,1
31,1645295864,39.72198486328125,-84.84162040378737,0,adc0fb,1
32,1645295865,39.72139520160222,-84.84112548828125,0,adc0fb,1
33,1645295866,39.72083657474841,-84.84063720703125,0,adc0fb,1
34,1645295867,39.72065734863281,-84.84048594599182,0,adc0fb,1
35,1645295868,39.72065734863281,-84.84048594599182,0,adc0fb,1
36,1645295869,39.72065734863281,-84.84048594599182,0,adc0fb,1
37,1645295870,39.72065734863281,-84.84048594599182,0,adc0fb,1
38,1645295871,39.72065734863281,-84.84048594599182,0,adc0fb,1
39,1645295872,39.72065734863281,-84.84048594599182,0,adc0fb,1
40,1645295873,39.72784332908137,-84.94990844115026,1,adc0fb,1
41,1645295874,39.72065734863281,-84.84048594599182,0,adc0fb,1
42,1645295875,39.72065734863281,-84.84048594599182,0,adc0fb,1
43,1645295876,39.77331514439741,-84.91338174326184,1,adc0fb,1
