,time,icao24,geoaltitude,datetime
0,1645460701,a5622f,815.34,2022-02-21 10:25:01
1,1645460702,a5622f,815.34,2022-02-21 10:25:02
2,1645460703,a5622f,822.96,2022-02-21 10:25:03
3,1645460704,a5622f,830.58,2022-02-21 10:25:04
4,1645460705,a5622f,830.58,2022-02-21 10:25:05
5,1645460706,a5622f,838.2,2022-02-21 10:25:06
6,1645460707,a5622f,838.2,2022-02-21 10:25:07
7,1645460708,a5622f,845.82,2022-02-21 10:25:08
8,1645460709,a5622f,845.82,2022-02-21 10:25:09
9,1645460710,a5622f,853.44,2022-02-21 10:25:10
10,1645460711,a5622f,861.0600000000001,2022-02-21 10:25:11
11,1645460712,a5622f,861.0600000000001,2022-02-21 10:25:12
12,1645460713,a5622f,861.0600000000001,2022-02-21 10:25:13
13,1645460714,a5622f,861.0600000000001,2022-02-21 10:25:14
14,1645460715,a5622f,861.0600000000001,2022-02-21 10:25:15
15,1645460716,a5622f,861.0600000000001,2022-02-21 10:25:16
16,1645460717,a5622f,861.0600000000001,2022-02-21 10:25:17
17,1645460718,a5622f,861.0600000000001,2022-02-21 10:25:18
18,1645460719,a5622f,861.0600000000001,2022-02-21 10:25:19
19,1645460720,a5622f,861.0600000000001,2022-02-21 10:25:20
20,1645460721,a5622f,861.0600000000001,2022-02-21 10:25:21
21,1645460722,a5622f,861.0600000000001,2022-02-21 10:25:22
22,1645460723,a5622f,861.0600000000001,2022-02-21 10:25:23
23,1645460724,a5622f,861.0600000000001,2022-02-21 10:25:24
24,1645460725,a5622f,861.0600000000001,2022-02-21 10:25:25
25,1645460726,a5622f,861.0600000000001,2022-02-21 10:25:26
26,1645460727,a5622f,861.0600000000001,2022-02-21 10:25:27
27,1645460728,a5622f,861.0600000000001,2022-02-21 10:25:28
28,1645460729,a5622f,861.0600000000001,2022-02-21 10:25:29
29,1645460730,a5622f,861.0600000000001,2022-02-21 10:25:30
30,1645460731,a5622f,861.0600000000001,2022-02-21 10:25:31
31,1645460732,a5622f,861.0600000000001,2022-02-21 10:25:32
32,1645460733,a5622f,861.0600000000001,2022-02-21 10:25:33
33,1645460734,a5622f,861.0600000000001,2022-02-21 10:25:34
34,1645460735,a5622f,861.0600000000001,2022-02-21 10:25:35
35,1645460736,a5622f,861.0600000000001,2022-02-21 10:25:36
36,1645460737,a5622f,861.0600000000001,2022-02-21 10:25:37
37,1645460738,a5622f,967.7400000000001,2022-02-21 10:25:38
38,1645460739,a5622f,967.7400000000001,2022-02-21 10:25:39
39,1645460740,a5622f,967.7400000000001,2022-02-21 10:25:40
40,1645460741,a5622f,967.7400000000001,2022-02-21 10:25:41
41,1645460742,a5622f,975.3600000000001,2022-02-21 10:25:42
42,1645460743,a5622f,998.22,2022-02-21 10:25:43
43,1645460744,a5622f,1005.84,2022-02-21 10:25:44
44,1645460745,a5622f,1005.84,2022-02-21 10:25:45
45,1645460746,a5622f,1005.84,2022-02-21 10:25:46
46,1645460747,a5622f,1005.84,2022-02-21 10:25:47
47,1645460748,a5622f,1005.84,2022-02-21 10:25:48
48,1645460749,a5622f,1005.84,2022-02-21 10:25:49
49,1645460750,a5622f,1005.84,2022-02-21 10:25:50
50,1645460751,a5622f,1005.84,2022-02-21 10:25:51
51,1645460752,a5622f,1005.84,2022-02-21 10:25:52
52,1645460753,a5622f,1005.84,2022-02-21 10:25:53
53,1645460754,a5622f,1005.84,2022-02-21 10:25:54
54,1645460755,a5622f,1005.84,2022-02-21 10:25:55
55,1645460756,a5622f,1005.84,2022-02-21 10:25:56
56,1645460757,a5622f,1005.84,2022-02-21 10:25:57
57,1645460758,a5622f,1005.84,2022-02-21 10:25:58
58,1645460759,a5622f,1005.84,2022-02-21 10:25:59
59,1645460760,a5622f,1005.84,2022-02-21 10:26:00
60,1645460761,a5622f,1005.84,2022-02-21 10:26:01
61,1645460762,a5622f,1005.84,2022-02-21 10:26:02
62,1645460763,a5622f,1005.84,2022-02-21 10:26:03
63,1645460764,a5622f,1005.84,2022-02-21 10:26:04
64,1645460765,a5622f,1005.84,2022-02-21 10:26:05
65,1645460766,a5622f,1097.2800000000002,2022-02-21 10:26:06
66,1645460767,a5622f,1104.9,2022-02-21 10:26:07
67,1645460768,a5622f,1104.9,2022-02-21 10:26:08
68,1645460769,a5622f,1104.9,2022-02-21 10:26:09
69,1645460770,a5622f,1120.14,2022-02-21 10:26:10
70,1645460771,a5622f,1120.14,2022-02-21 10:26:11
71,1645460772,a5622f,1127.76,2022-02-21 10:26:12
72,1645460773,a5622f,1127.76,2022-02-21 10:26:13
73,1645460774,a5622f,1127.76,2022-02-21 10:26:14
74,1645460775,a5622f,1143.0,2022-02-21 10:26:15
75,1645460776,a5622f,1150.6200000000001,2022-02-21 10:26:16
76,1645460777,a5622f,1150.6200000000001,2022-02-21 10:26:17
77,1645460778,a5622f,1158.24,2022-02-21 10:26:18
78,1645460779,a5622f,1158.24,2022-02-21 10:26:19
79,1645460780,a5622f,1165.8600000000001,2022-02-21 10:26:20
80,1645460781,a5622f,1165.8600000000001,2022-02-21 10:26:21
