,time,icao24,geoaltitude,datetime
0,1645559390,a57774,175.26,2022-02-22 13:49:50
1,1645559391,a57774,175.26,2022-02-22 13:49:51
2,1645559392,a57774,175.26,2022-02-22 13:49:52
3,1645559393,a57774,198.12,2022-02-22 13:49:53
4,1645559394,a57774,205.74,2022-02-22 13:49:54
5,1645559395,a57774,205.74,2022-02-22 13:49:55
6,1645559396,a57774,205.74,2022-02-22 13:49:56
7,1645559397,a57774,205.74,2022-02-22 13:49:57
8,1645559398,a57774,205.74,2022-02-22 13:49:58
9,1645559399,a57774,205.74,2022-02-22 13:49:59
10,1645559400,a57774,251.45999999999998,2022-02-22 13:50:00
11,1645559401,a57774,251.45999999999998,2022-02-22 13:50:01
12,1645559402,a57774,259.08,2022-02-22 13:50:02
13,1645559403,a57774,259.08,2022-02-22 13:50:03
14,1645559404,a57774,281.94,2022-02-22 13:50:04
15,1645559405,a57774,281.94,2022-02-22 13:50:05
16,1645559406,a57774,266.70000000000005,2022-02-22 13:50:06
17,1645559407,a57774,297.18,2022-02-22 13:50:07
18,1645559408,a57774,297.18,2022-02-22 13:50:08
19,1645559409,a57774,320.03999999999996,2022-02-22 13:50:09
20,1645559410,a57774,335.28,2022-02-22 13:50:10
21,1645559411,a57774,342.9,2022-02-22 13:50:11
22,1645559412,a57774,342.9,2022-02-22 13:50:12
23,1645559413,a57774,358.14,2022-02-22 13:50:13
24,1645559414,a57774,358.14,2022-02-22 13:50:14
25,1645559415,a57774,373.38,2022-02-22 13:50:15
26,1645559416,a57774,381.0,2022-02-22 13:50:16
27,1645559417,a57774,388.62,2022-02-22 13:50:17
28,1645559418,a57774,388.62,2022-02-22 13:50:18
29,1645559419,a57774,388.62,2022-02-22 13:50:19
30,1645559420,a57774,403.86,2022-02-22 13:50:20
31,1645559421,a57774,411.48,2022-02-22 13:50:21
32,1645559422,a57774,419.1,2022-02-22 13:50:22
33,1645559423,a57774,419.1,2022-02-22 13:50:23
34,1645559424,a57774,457.2,2022-02-22 13:50:24
35,1645559425,a57774,449.58000000000004,2022-02-22 13:50:25
36,1645559426,a57774,457.2,2022-02-22 13:50:26
37,1645559427,a57774,464.82,2022-02-22 13:50:27
38,1645559428,a57774,472.44000000000005,2022-02-22 13:50:28
39,1645559429,a57774,480.06000000000006,2022-02-22 13:50:29
40,1645559430,a57774,487.68,2022-02-22 13:50:30
41,1645559431,a57774,495.30000000000007,2022-02-22 13:50:31
42,1645559432,a57774,502.9200000000001,2022-02-22 13:50:32
43,1645559433,a57774,510.5400000000001,2022-02-22 13:50:33
44,1645559434,a57774,518.1600000000001,2022-02-22 13:50:34
45,1645559435,a57774,525.78,2022-02-22 13:50:35
46,1645559436,a57774,533.4,2022-02-22 13:50:36
47,1645559437,a57774,525.78,2022-02-22 13:50:37
48,1645559438,a57774,548.64,2022-02-22 13:50:38
49,1645559439,a57774,556.2600000000001,2022-02-22 13:50:39
50,1645559440,a57774,556.2600000000001,2022-02-22 13:50:40
51,1645559441,a57774,563.8800000000001,2022-02-22 13:50:41
52,1645559442,a57774,579.1200000000001,2022-02-22 13:50:42
53,1645559443,a57774,556.2600000000001,2022-02-22 13:50:43
54,1645559444,a57774,594.36,2022-02-22 13:50:44
