,time,icao24,geoaltitude,datetime
0,1645461468,a64ef7,1059.18,2022-02-21 10:37:48
1,1645461469,a64ef7,1059.18,2022-02-21 10:37:49
2,1645461470,a64ef7,1059.18,2022-02-21 10:37:50
3,1645461471,a64ef7,1059.18,2022-02-21 10:37:51
4,1645461472,a64ef7,1059.18,2022-02-21 10:37:52
5,1645461473,a64ef7,1059.18,2022-02-21 10:37:53
6,1645461474,a64ef7,1059.18,2022-02-21 10:37:54
7,1645461475,a64ef7,1059.18,2022-02-21 10:37:55
8,1645461476,a64ef7,1059.18,2022-02-21 10:37:56
9,1645461477,a64ef7,1059.18,2022-02-21 10:37:57
10,1645461478,a64ef7,1059.18,2022-02-21 10:37:58
11,1645461479,a64ef7,1059.18,2022-02-21 10:37:59
12,1645461480,a64ef7,1059.18,2022-02-21 10:38:00
13,1645461481,a64ef7,1059.18,2022-02-21 10:38:01
14,1645461482,a64ef7,1059.18,2022-02-21 10:38:02
15,1645461483,a64ef7,1059.18,2022-02-21 10:38:03
16,1645461484,a64ef7,1059.18,2022-02-21 10:38:04
17,1645461485,a64ef7,1059.18,2022-02-21 10:38:05
18,1645461486,a64ef7,1059.18,2022-02-21 10:38:06
19,1645461487,a64ef7,1059.18,2022-02-21 10:38:07
20,1645461488,a64ef7,1059.18,2022-02-21 10:38:08
21,1645461489,a64ef7,1059.18,2022-02-21 10:38:09
22,1645461490,a64ef7,1059.18,2022-02-21 10:38:10
23,1645461491,a64ef7,1059.18,2022-02-21 10:38:11
24,1645461492,a64ef7,1059.18,2022-02-21 10:38:12
25,1645461493,a64ef7,1059.18,2022-02-21 10:38:13
26,1645461494,a64ef7,1059.18,2022-02-21 10:38:14
27,1645461495,a64ef7,1059.18,2022-02-21 10:38:15
28,1645461496,a64ef7,1059.18,2022-02-21 10:38:16
29,1645461497,a64ef7,1059.18,2022-02-21 10:38:17
30,1645461498,a64ef7,1059.18,2022-02-21 10:38:18
31,1645461499,a64ef7,1059.18,2022-02-21 10:38:19
32,1645461500,a64ef7,1059.18,2022-02-21 10:38:20
33,1645461501,a64ef7,1059.18,2022-02-21 10:38:21
34,1645461502,a64ef7,1059.18,2022-02-21 10:38:22
35,1645461503,a64ef7,1059.18,2022-02-21 10:38:23
36,1645461504,a64ef7,1059.18,2022-02-21 10:38:24
37,1645461505,a64ef7,1059.18,2022-02-21 10:38:25
38,1645461506,a64ef7,1059.18,2022-02-21 10:38:26
39,1645461507,a64ef7,1059.18,2022-02-21 10:38:27
40,1645461508,a64ef7,1059.18,2022-02-21 10:38:28
41,1645461509,a64ef7,1059.18,2022-02-21 10:38:29
42,1645461510,a64ef7,1059.18,2022-02-21 10:38:30
43,1645461511,a64ef7,1059.18,2022-02-21 10:38:31
44,1645461512,a64ef7,1059.18,2022-02-21 10:38:32
45,1645461513,a64ef7,1059.18,2022-02-21 10:38:33
46,1645461514,a64ef7,1059.18,2022-02-21 10:38:34
47,1645461515,a64ef7,1051.56,2022-02-21 10:38:35
48,1645461516,a64ef7,1051.56,2022-02-21 10:38:36
49,1645461517,a64ef7,1051.56,2022-02-21 10:38:37
50,1645461518,a64ef7,1051.56,2022-02-21 10:38:38
51,1645461519,a64ef7,1051.56,2022-02-21 10:38:39
52,1645461520,a64ef7,1051.56,2022-02-21 10:38:40
53,1645461521,a64ef7,1051.56,2022-02-21 10:38:41
54,1645461522,a64ef7,1051.56,2022-02-21 10:38:42
55,1645461523,a64ef7,1051.56,2022-02-21 10:38:43
56,1645461524,a64ef7,1051.56,2022-02-21 10:38:44
57,1645461525,a64ef7,1051.56,2022-02-21 10:38:45
58,1645461526,a64ef7,1051.56,2022-02-21 10:38:46
59,1645461527,a64ef7,1051.56,2022-02-21 10:38:47
60,1645461528,a64ef7,1051.56,2022-02-21 10:38:48
61,1645461529,a64ef7,1051.56,2022-02-21 10:38:49
62,1645461530,a64ef7,1051.56,2022-02-21 10:38:50
63,1645461531,a64ef7,1051.56,2022-02-21 10:38:51
64,1645461532,a64ef7,1051.56,2022-02-21 10:38:52
65,1645461533,a64ef7,1051.56,2022-02-21 10:38:53
66,1645461534,a64ef7,1051.56,2022-02-21 10:38:54
67,1645461535,a64ef7,1051.56,2022-02-21 10:38:55
68,1645461536,a64ef7,1051.56,2022-02-21 10:38:56
69,1645461537,a64ef7,1051.56,2022-02-21 10:38:57
70,1645461538,a64ef7,1051.56,2022-02-21 10:38:58
71,1645461539,a64ef7,1051.56,2022-02-21 10:38:59
72,1645461540,a64ef7,1051.56,2022-02-21 10:39:00
73,1645461541,a64ef7,1051.56,2022-02-21 10:39:01
74,1645461542,a64ef7,1043.94,2022-02-21 10:39:02
75,1645461543,a64ef7,1043.94,2022-02-21 10:39:03
76,1645461544,a64ef7,1043.94,2022-02-21 10:39:04
77,1645461545,a64ef7,1043.94,2022-02-21 10:39:05
