,time,icao24,geoaltitude,datetime
0,1645910658,ad0280,129.54000000000002,2022-02-26 15:24:18
1,1645910659,ad0280,152.4,2022-02-26 15:24:19
2,1645910660,ad0280,152.4,2022-02-26 15:24:20
3,1645910661,ad0280,152.4,2022-02-26 15:24:21
4,1645910662,ad0280,152.4,2022-02-26 15:24:22
5,1645910663,ad0280,182.88,2022-02-26 15:24:23
6,1645910664,ad0280,182.88,2022-02-26 15:24:24
7,1645910665,ad0280,182.88,2022-02-26 15:24:25
8,1645910666,ad0280,190.5,2022-02-26 15:24:26
9,1645910667,ad0280,190.5,2022-02-26 15:24:27
10,1645910668,ad0280,190.5,2022-02-26 15:24:28
11,1645910669,ad0280,205.74,2022-02-26 15:24:29
12,1645910670,ad0280,213.36,2022-02-26 15:24:30
13,1645910671,ad0280,213.36,2022-02-26 15:24:31
14,1645910672,ad0280,220.98000000000002,2022-02-26 15:24:32
15,1645910673,ad0280,228.60000000000002,2022-02-26 15:24:33
16,1645910674,ad0280,236.22000000000003,2022-02-26 15:24:34
17,1645910675,ad0280,236.22000000000003,2022-02-26 15:24:35
18,1645910676,ad0280,243.84000000000003,2022-02-26 15:24:36
19,1645910677,ad0280,251.45999999999998,2022-02-26 15:24:37
20,1645910678,ad0280,251.45999999999998,2022-02-26 15:24:38
21,1645910679,ad0280,259.08,2022-02-26 15:24:39
22,1645910680,ad0280,259.08,2022-02-26 15:24:40
23,1645910681,ad0280,259.08,2022-02-26 15:24:41
24,1645910682,ad0280,266.7,2022-02-26 15:24:42
25,1645910683,ad0280,274.32,2022-02-26 15:24:43
26,1645910684,ad0280,274.32,2022-02-26 15:24:44
27,1645910685,ad0280,274.32,2022-02-26 15:24:45
28,1645910686,ad0280,281.94,2022-02-26 15:24:46
29,1645910687,ad0280,281.94,2022-02-26 15:24:47
30,1645910688,ad0280,281.94,2022-02-26 15:24:48
31,1645910689,ad0280,297.18,2022-02-26 15:24:49
32,1645910690,ad0280,304.8,2022-02-26 15:24:50
33,1645910691,ad0280,304.8,2022-02-26 15:24:51
34,1645910692,ad0280,304.8,2022-02-26 15:24:52
35,1645910693,ad0280,304.8,2022-02-26 15:24:53
36,1645910694,ad0280,312.42,2022-02-26 15:24:54
37,1645910695,ad0280,320.04,2022-02-26 15:24:55
38,1645910696,ad0280,335.28,2022-02-26 15:24:56
39,1645910697,ad0280,335.28,2022-02-26 15:24:57
40,1645910698,ad0280,342.9,2022-02-26 15:24:58
41,1645910699,ad0280,342.9,2022-02-26 15:24:59
42,1645910700,ad0280,350.52,2022-02-26 15:25:00
43,1645910701,ad0280,358.14,2022-02-26 15:25:01
44,1645910702,ad0280,365.76,2022-02-26 15:25:02
45,1645910703,ad0280,365.76,2022-02-26 15:25:03
46,1645910704,ad0280,365.76,2022-02-26 15:25:04
47,1645910705,ad0280,365.76,2022-02-26 15:25:05
48,1645910706,ad0280,381.0,2022-02-26 15:25:06
49,1645910707,ad0280,381.0,2022-02-26 15:25:07
50,1645910708,ad0280,381.0,2022-02-26 15:25:08
51,1645910709,ad0280,381.0,2022-02-26 15:25:09
52,1645910710,ad0280,388.62,2022-02-26 15:25:10
53,1645910711,ad0280,396.24,2022-02-26 15:25:11
54,1645910712,ad0280,396.24,2022-02-26 15:25:12
55,1645910713,ad0280,396.24,2022-02-26 15:25:13
56,1645910714,ad0280,403.86,2022-02-26 15:25:14
57,1645910715,ad0280,411.48,2022-02-26 15:25:15
58,1645910716,ad0280,419.1,2022-02-26 15:25:16
59,1645910717,ad0280,419.1,2022-02-26 15:25:17
60,1645910718,ad0280,419.1,2022-02-26 15:25:18
61,1645910719,ad0280,419.1,2022-02-26 15:25:19
62,1645910720,ad0280,434.34,2022-02-26 15:25:20
63,1645910721,ad0280,434.34,2022-02-26 15:25:21
64,1645910722,ad0280,434.34000000000003,2022-02-26 15:25:22
65,1645910723,ad0280,449.58,2022-02-26 15:25:23
66,1645910724,ad0280,449.58000000000004,2022-02-26 15:25:24
67,1645910725,ad0280,457.20000000000005,2022-02-26 15:25:25
68,1645910726,ad0280,457.20000000000005,2022-02-26 15:25:26
69,1645910727,ad0280,457.20000000000005,2022-02-26 15:25:27
70,1645910728,ad0280,472.44,2022-02-26 15:25:28
71,1645910729,ad0280,472.44000000000005,2022-02-26 15:25:29
72,1645910730,ad0280,472.44000000000005,2022-02-26 15:25:30
73,1645910731,ad0280,480.06000000000006,2022-02-26 15:25:31
74,1645910732,ad0280,487.68000000000006,2022-02-26 15:25:32
75,1645910733,ad0280,495.30000000000007,2022-02-26 15:25:33
76,1645910734,ad0280,495.30000000000007,2022-02-26 15:25:34
77,1645910735,ad0280,495.30000000000007,2022-02-26 15:25:35
78,1645910736,ad0280,510.5400000000001,2022-02-26 15:25:36
79,1645910737,ad0280,510.5400000000001,2022-02-26 15:25:37
80,1645910738,ad0280,518.1600000000001,2022-02-26 15:25:38
81,1645910739,ad0280,525.78,2022-02-26 15:25:39
82,1645910740,ad0280,533.4,2022-02-26 15:25:40
83,1645910741,ad0280,541.02,2022-02-26 15:25:41
84,1645910742,ad0280,541.02,2022-02-26 15:25:42
85,1645910743,ad0280,548.64,2022-02-26 15:25:43
86,1645910744,ad0280,556.26,2022-02-26 15:25:44
87,1645910745,ad0280,556.26,2022-02-26 15:25:45
88,1645910746,ad0280,571.5000000000001,2022-02-26 15:25:46
