,time,icao24,geoaltitude,datetime
0,1645378597,c0777d,76.2,2022-02-20 11:36:37
1,1645378598,c0777d,83.82,2022-02-20 11:36:38
2,1645378599,c0777d,91.44,2022-02-20 11:36:39
3,1645378600,c0777d,99.06000000000002,2022-02-20 11:36:40
4,1645378601,c0777d,106.68,2022-02-20 11:36:41
5,1645378602,c0777d,121.92000000000002,2022-02-20 11:36:42
6,1645378603,c0777d,121.92,2022-02-20 11:36:43
7,1645378604,c0777d,129.54,2022-02-20 11:36:44
8,1645378605,c0777d,137.16,2022-02-20 11:36:45
9,1645378606,c0777d,137.16,2022-02-20 11:36:46
10,1645378607,c0777d,144.78,2022-02-20 11:36:47
11,1645378608,c0777d,152.4,2022-02-20 11:36:48
12,1645378609,c0777d,167.64,2022-02-20 11:36:49
13,1645378610,c0777d,175.26,2022-02-20 11:36:50
14,1645378611,c0777d,182.88,2022-02-20 11:36:51
15,1645378612,c0777d,190.5,2022-02-20 11:36:52
16,1645378613,c0777d,190.5,2022-02-20 11:36:53
17,1645378614,c0777d,198.12,2022-02-20 11:36:54
18,1645378615,c0777d,205.74,2022-02-20 11:36:55
19,1645378616,c0777d,213.36,2022-02-20 11:36:56
20,1645378617,c0777d,220.98,2022-02-20 11:36:57
21,1645378618,c0777d,228.6,2022-02-20 11:36:58
22,1645378619,c0777d,236.22,2022-02-20 11:36:59
23,1645378620,c0777d,243.84000000000003,2022-02-20 11:37:00
24,1645378621,c0777d,251.45999999999998,2022-02-20 11:37:01
25,1645378622,c0777d,251.45999999999998,2022-02-20 11:37:02
26,1645378623,c0777d,259.08,2022-02-20 11:37:03
27,1645378624,c0777d,266.7,2022-02-20 11:37:04
28,1645378625,c0777d,266.7,2022-02-20 11:37:05
29,1645378626,c0777d,274.32,2022-02-20 11:37:06
30,1645378627,c0777d,281.94,2022-02-20 11:37:07
31,1645378628,c0777d,289.56,2022-02-20 11:37:08
32,1645378629,c0777d,289.56,2022-02-20 11:37:09
33,1645378630,c0777d,297.18,2022-02-20 11:37:10
34,1645378631,c0777d,297.18,2022-02-20 11:37:11
35,1645378632,c0777d,304.8,2022-02-20 11:37:12
36,1645378633,c0777d,304.8,2022-02-20 11:37:13
37,1645378634,c0777d,312.42,2022-02-20 11:37:14
38,1645378635,c0777d,320.04,2022-02-20 11:37:15
39,1645378636,c0777d,327.66,2022-02-20 11:37:16
40,1645378637,c0777d,335.28000000000003,2022-02-20 11:37:17
41,1645378638,c0777d,342.9,2022-02-20 11:37:18
42,1645378639,c0777d,342.9,2022-02-20 11:37:19
43,1645378640,c0777d,350.52,2022-02-20 11:37:20
44,1645378641,c0777d,350.52,2022-02-20 11:37:21
45,1645378642,c0777d,358.14,2022-02-20 11:37:22
46,1645378643,c0777d,358.14,2022-02-20 11:37:23
47,1645378644,c0777d,358.14,2022-02-20 11:37:24
48,1645378645,c0777d,365.76,2022-02-20 11:37:25
49,1645378646,c0777d,365.76,2022-02-20 11:37:26
50,1645378647,c0777d,365.76,2022-02-20 11:37:27
51,1645378648,c0777d,373.38,2022-02-20 11:37:28
52,1645378649,c0777d,373.38,2022-02-20 11:37:29
53,1645378650,c0777d,373.38,2022-02-20 11:37:30
54,1645378651,c0777d,373.38,2022-02-20 11:37:31
55,1645378652,c0777d,381.0,2022-02-20 11:37:32
56,1645378653,c0777d,388.62,2022-02-20 11:37:33
57,1645378654,c0777d,388.62,2022-02-20 11:37:34
58,1645378655,c0777d,396.24,2022-02-20 11:37:35
59,1645378656,c0777d,403.86,2022-02-20 11:37:36
60,1645378657,c0777d,403.86,2022-02-20 11:37:37
61,1645378658,c0777d,411.48,2022-02-20 11:37:38
62,1645378659,c0777d,419.1,2022-02-20 11:37:39
63,1645378660,c0777d,426.72,2022-02-20 11:37:40
64,1645378661,c0777d,426.72,2022-02-20 11:37:41
65,1645378662,c0777d,434.34000000000003,2022-02-20 11:37:42
66,1645378663,c0777d,426.72,2022-02-20 11:37:43
67,1645378664,c0777d,434.34000000000003,2022-02-20 11:37:44
68,1645378665,c0777d,434.34000000000003,2022-02-20 11:37:45
69,1645378666,c0777d,434.34000000000003,2022-02-20 11:37:46
70,1645378667,c0777d,426.72,2022-02-20 11:37:47
71,1645378668,c0777d,419.1,2022-02-20 11:37:48
72,1645378669,c0777d,419.1,2022-02-20 11:37:49
73,1645378670,c0777d,419.1,2022-02-20 11:37:50
74,1645378671,c0777d,411.48,2022-02-20 11:37:51
75,1645378672,c0777d,411.48,2022-02-20 11:37:52
76,1645378673,c0777d,403.86,2022-02-20 11:37:53
77,1645378674,c0777d,403.86,2022-02-20 11:37:54
78,1645378675,c0777d,403.86,2022-02-20 11:37:55
79,1645378676,c0777d,403.86,2022-02-20 11:37:56
80,1645378677,c0777d,403.86,2022-02-20 11:37:57
81,1645378678,c0777d,403.86,2022-02-20 11:37:58
82,1645378679,c0777d,403.86,2022-02-20 11:37:59
83,1645378680,c0777d,403.86,2022-02-20 11:38:00
84,1645378681,c0777d,411.48,2022-02-20 11:38:01
85,1645378682,c0777d,411.48,2022-02-20 11:38:02
86,1645378683,c0777d,411.48,2022-02-20 11:38:03
87,1645378684,c0777d,403.86,2022-02-20 11:38:04
88,1645378685,c0777d,411.48,2022-02-20 11:38:05
89,1645378686,c0777d,411.48,2022-02-20 11:38:06
90,1645378687,c0777d,411.48,2022-02-20 11:38:07
91,1645378688,c0777d,411.48,2022-02-20 11:38:08
92,1645378689,c0777d,411.48,2022-02-20 11:38:09
93,1645378690,c0777d,411.48,2022-02-20 11:38:10
94,1645378691,c0777d,411.48,2022-02-20 11:38:11
