,time,icao24,geoaltitude,datetime
0,1645740845,a03b40,777.24,2022-02-24 16:14:05
1,1645740846,a03b40,792.48,2022-02-24 16:14:06
2,1645740847,a03b40,807.72,2022-02-24 16:14:07
3,1645740848,a03b40,807.72,2022-02-24 16:14:08
4,1645740849,a03b40,845.82,2022-02-24 16:14:09
5,1645740850,a03b40,845.82,2022-02-24 16:14:10
6,1645740851,a03b40,868.6800000000001,2022-02-24 16:14:11
7,1645740852,a03b40,899.1600000000001,2022-02-24 16:14:12
8,1645740853,a03b40,906.7800000000001,2022-02-24 16:14:13
9,1645740854,a03b40,906.7800000000001,2022-02-24 16:14:14
10,1645740855,a03b40,922.0200000000001,2022-02-24 16:14:15
11,1645740856,a03b40,929.6400000000001,2022-02-24 16:14:16
12,1645740857,a03b40,944.8800000000001,2022-02-24 16:14:17
13,1645740858,a03b40,944.8800000000001,2022-02-24 16:14:18
14,1645740859,a03b40,952.5000000000001,2022-02-24 16:14:19
15,1645740860,a03b40,975.36,2022-02-24 16:14:20
16,1645740861,a03b40,975.36,2022-02-24 16:14:21
17,1645740862,a03b40,990.6,2022-02-24 16:14:22
18,1645740863,a03b40,990.6,2022-02-24 16:14:23
19,1645740864,a03b40,1021.08,2022-02-24 16:14:24
20,1645740865,a03b40,1028.7,2022-02-24 16:14:25
21,1645740866,a03b40,1043.94,2022-02-24 16:14:26
22,1645740867,a03b40,1043.94,2022-02-24 16:14:27
23,1645740868,a03b40,1043.94,2022-02-24 16:14:28
24,1645740869,a03b40,1051.56,2022-02-24 16:14:29
25,1645740870,a03b40,1097.28,2022-02-24 16:14:30
26,1645740871,a03b40,1097.28,2022-02-24 16:14:31
27,1645740872,a03b40,1097.28,2022-02-24 16:14:32
28,1645740873,a03b40,1097.28,2022-02-24 16:14:33
29,1645740874,a03b40,1097.28,2022-02-24 16:14:34
30,1645740875,a03b40,1143.0,2022-02-24 16:14:35
31,1645740876,a03b40,1143.0,2022-02-24 16:14:36
32,1645740877,a03b40,1143.0,2022-02-24 16:14:37
33,1645740878,a03b40,1143.0,2022-02-24 16:14:38
34,1645740879,a03b40,1196.34,2022-02-24 16:14:39
35,1645740880,a03b40,1196.34,2022-02-24 16:14:40
36,1645740881,a03b40,1234.44,2022-02-24 16:14:41
