,time,icao24,geoaltitude,datetime
0,1645451655,a0528b,1668.78,2022-02-21 07:54:15
1,1645451656,a0528b,1676.4,2022-02-21 07:54:16
2,1645451657,a0528b,1676.4,2022-02-21 07:54:17
3,1645451658,a0528b,1676.4,2022-02-21 07:54:18
4,1645451659,a0528b,1676.4,2022-02-21 07:54:19
5,1645451660,a0528b,1676.4,2022-02-21 07:54:20
6,1645451661,a0528b,1676.4,2022-02-21 07:54:21
7,1645451662,a0528b,1676.4,2022-02-21 07:54:22
8,1645451663,a0528b,1676.4,2022-02-21 07:54:23
9,1645451664,a0528b,1752.6000000000001,2022-02-21 07:54:24
10,1645451665,a0528b,1752.6000000000001,2022-02-21 07:54:25
11,1645451666,a0528b,1760.22,2022-02-21 07:54:26
12,1645451667,a0528b,1760.22,2022-02-21 07:54:27
13,1645451668,a0528b,1760.22,2022-02-21 07:54:28
14,1645451669,a0528b,1760.22,2022-02-21 07:54:29
15,1645451670,a0528b,1760.22,2022-02-21 07:54:30
16,1645451671,a0528b,1798.3200000000002,2022-02-21 07:54:31
17,1645451672,a0528b,1798.3200000000002,2022-02-21 07:54:32
18,1645451673,a0528b,1805.94,2022-02-21 07:54:33
19,1645451674,a0528b,1805.94,2022-02-21 07:54:34
20,1645451675,a0528b,1805.94,2022-02-21 07:54:35
21,1645451676,a0528b,1805.94,2022-02-21 07:54:36
22,1645451677,a0528b,1805.94,2022-02-21 07:54:37
23,1645451678,a0528b,1805.94,2022-02-21 07:54:38
24,1645451679,a0528b,1805.94,2022-02-21 07:54:39
25,1645451680,a0528b,1805.94,2022-02-21 07:54:40
26,1645451681,a0528b,1828.8000000000002,2022-02-21 07:54:41
27,1645451682,a0528b,1828.8000000000002,2022-02-21 07:54:42
28,1645451683,a0528b,1828.8000000000002,2022-02-21 07:54:43
29,1645451684,a0528b,1828.8000000000002,2022-02-21 07:54:44
30,1645451685,a0528b,1828.8000000000002,2022-02-21 07:54:45
31,1645451686,a0528b,1851.66,2022-02-21 07:54:46
32,1645451687,a0528b,1851.66,2022-02-21 07:54:47
33,1645451688,a0528b,1874.5200000000002,2022-02-21 07:54:48
34,1645451689,a0528b,1874.5200000000002,2022-02-21 07:54:49
35,1645451690,a0528b,1874.5200000000002,2022-02-21 07:54:50
36,1645451691,a0528b,1874.5200000000002,2022-02-21 07:54:51
37,1645451692,a0528b,1874.5200000000002,2022-02-21 07:54:52
38,1645451693,a0528b,1874.5200000000002,2022-02-21 07:54:53
39,1645451694,a0528b,1874.5200000000002,2022-02-21 07:54:54
40,1645451695,a0528b,1874.5200000000002,2022-02-21 07:54:55
41,1645451696,a0528b,1874.5200000000002,2022-02-21 07:54:56
42,1645451697,a0528b,1874.5200000000002,2022-02-21 07:54:57
43,1645451698,a0528b,1874.5200000000002,2022-02-21 07:54:58
44,1645451699,a0528b,1874.5200000000002,2022-02-21 07:54:59
45,1645451700,a0528b,1874.5200000000002,2022-02-21 07:55:00
46,1645451701,a0528b,1874.5200000000002,2022-02-21 07:55:01
47,1645451702,a0528b,2034.5400000000002,2022-02-21 07:55:02
48,1645451703,a0528b,2034.5400000000002,2022-02-21 07:55:03
49,1645451704,a0528b,2057.4,2022-02-21 07:55:04
50,1645451705,a0528b,2072.64,2022-02-21 07:55:05
51,1645451706,a0528b,2072.64,2022-02-21 07:55:06
52,1645451707,a0528b,2072.64,2022-02-21 07:55:07
53,1645451708,a0528b,2072.64,2022-02-21 07:55:08
54,1645451709,a0528b,2110.74,2022-02-21 07:55:09
55,1645451710,a0528b,2133.6,2022-02-21 07:55:10
56,1645451711,a0528b,2133.6,2022-02-21 07:55:11
57,1645451712,a0528b,2133.6,2022-02-21 07:55:12
58,1645451713,a0528b,2148.84,2022-02-21 07:55:13
59,1645451714,a0528b,2171.7,2022-02-21 07:55:14
60,1645451715,a0528b,2171.7,2022-02-21 07:55:15
61,1645451716,a0528b,2171.7,2022-02-21 07:55:16
62,1645451717,a0528b,2194.56,2022-02-21 07:55:17
63,1645451718,a0528b,2194.56,2022-02-21 07:55:18
64,1645451719,a0528b,2194.56,2022-02-21 07:55:19
65,1645451720,a0528b,2194.56,2022-02-21 07:55:20
66,1645451721,a0528b,2247.9,2022-02-21 07:55:21
67,1645451722,a0528b,2247.9,2022-02-21 07:55:22
68,1645451723,a0528b,2293.62,2022-02-21 07:55:23
69,1645451724,a0528b,2293.62,2022-02-21 07:55:24
70,1645451725,a0528b,2293.62,2022-02-21 07:55:25
71,1645451726,a0528b,2331.72,2022-02-21 07:55:26
72,1645451727,a0528b,2331.72,2022-02-21 07:55:27
73,1645451728,a0528b,2331.72,2022-02-21 07:55:28
74,1645451729,a0528b,2331.72,2022-02-21 07:55:29
75,1645451730,a0528b,2331.72,2022-02-21 07:55:30
76,1645451731,a0528b,2392.68,2022-02-21 07:55:31
77,1645451732,a0528b,2392.68,2022-02-21 07:55:32
78,1645451733,a0528b,2407.92,2022-02-21 07:55:33
79,1645451734,a0528b,2415.54,2022-02-21 07:55:34
80,1645451735,a0528b,2415.54,2022-02-21 07:55:35
81,1645451736,a0528b,2415.54,2022-02-21 07:55:36
82,1645451737,a0528b,2453.64,2022-02-21 07:55:37
83,1645451738,a0528b,2453.64,2022-02-21 07:55:38
84,1645451739,a0528b,2453.64,2022-02-21 07:55:39
85,1645451740,a0528b,2506.9800000000005,2022-02-21 07:55:40
86,1645451741,a0528b,2506.98,2022-02-21 07:55:41
87,1645451742,a0528b,2506.98,2022-02-21 07:55:42
88,1645451743,a0528b,2529.84,2022-02-21 07:55:43
89,1645451744,a0528b,2537.4600000000005,2022-02-21 07:55:44
90,1645451745,a0528b,2552.7000000000003,2022-02-21 07:55:45
91,1645451746,a0528b,2552.7000000000003,2022-02-21 07:55:46
92,1645451747,a0528b,2552.7000000000003,2022-02-21 07:55:47
93,1645451748,a0528b,2575.5600000000004,2022-02-21 07:55:48
94,1645451749,a0528b,2598.4200000000005,2022-02-21 07:55:49
95,1645451750,a0528b,2606.0400000000004,2022-02-21 07:55:50
96,1645451751,a0528b,2606.0400000000004,2022-02-21 07:55:51
97,1645451752,a0528b,2606.0400000000004,2022-02-21 07:55:52
98,1645451753,a0528b,2628.9000000000005,2022-02-21 07:55:53
99,1645451754,a0528b,2644.1400000000003,2022-02-21 07:55:54
100,1645451755,a0528b,2651.76,2022-02-21 07:55:55
101,1645451756,a0528b,2659.3800000000006,2022-02-21 07:55:56
102,1645451757,a0528b,2659.3800000000006,2022-02-21 07:55:57
103,1645451758,a0528b,2659.3800000000006,2022-02-21 07:55:58
104,1645451759,a0528b,2689.86,2022-02-21 07:55:59
105,1645451760,a0528b,2712.7200000000003,2022-02-21 07:56:00
106,1645451761,a0528b,2720.34,2022-02-21 07:56:01
107,1645451762,a0528b,2720.34,2022-02-21 07:56:02
108,1645451763,a0528b,2735.5800000000004,2022-02-21 07:56:03
109,1645451764,a0528b,2735.5800000000004,2022-02-21 07:56:04
110,1645451765,a0528b,2735.5800000000004,2022-02-21 07:56:05
111,1645451766,a0528b,2773.6800000000003,2022-02-21 07:56:06
112,1645451767,a0528b,2773.6800000000003,2022-02-21 07:56:07
113,1645451768,a0528b,2773.6800000000003,2022-02-21 07:56:08
114,1645451769,a0528b,2773.6800000000003,2022-02-21 07:56:09
115,1645451770,a0528b,2773.6800000000003,2022-02-21 07:56:10
116,1645451771,a0528b,2804.1600000000003,2022-02-21 07:56:11
117,1645451772,a0528b,2819.4000000000005,2022-02-21 07:56:12
118,1645451773,a0528b,2819.4000000000005,2022-02-21 07:56:13
119,1645451774,a0528b,2819.4000000000005,2022-02-21 07:56:14
120,1645451775,a0528b,2819.4000000000005,2022-02-21 07:56:15
121,1645451776,a0528b,2819.4000000000005,2022-02-21 07:56:16
122,1645451777,a0528b,2819.4000000000005,2022-02-21 07:56:17
123,1645451778,a0528b,2819.4000000000005,2022-02-21 07:56:18
124,1645451779,a0528b,2819.4000000000005,2022-02-21 07:56:19
125,1645451780,a0528b,2819.4000000000005,2022-02-21 07:56:20
126,1645451781,a0528b,2819.4000000000005,2022-02-21 07:56:21
127,1645451782,a0528b,2819.4000000000005,2022-02-21 07:56:22
128,1645451783,a0528b,2819.4000000000005,2022-02-21 07:56:23
129,1645451784,a0528b,2819.4000000000005,2022-02-21 07:56:24
130,1645451785,a0528b,2819.4000000000005,2022-02-21 07:56:25
131,1645451786,a0528b,2819.4000000000005,2022-02-21 07:56:26
132,1645451787,a0528b,2819.4000000000005,2022-02-21 07:56:27
133,1645451788,a0528b,2819.4000000000005,2022-02-21 07:56:28
134,1645451789,a0528b,2819.4000000000005,2022-02-21 07:56:29
135,1645451790,a0528b,2819.4000000000005,2022-02-21 07:56:30
136,1645451791,a0528b,2819.4000000000005,2022-02-21 07:56:31
137,1645451792,a0528b,2819.4000000000005,2022-02-21 07:56:32
138,1645451793,a0528b,2819.4000000000005,2022-02-21 07:56:33
139,1645451794,a0528b,2819.4000000000005,2022-02-21 07:56:34
140,1645451795,a0528b,2819.4000000000005,2022-02-21 07:56:35
141,1645451796,a0528b,2819.4000000000005,2022-02-21 07:56:36
142,1645451797,a0528b,2819.4000000000005,2022-02-21 07:56:37
143,1645451798,a0528b,2819.4000000000005,2022-02-21 07:56:38
144,1645451799,a0528b,2819.4000000000005,2022-02-21 07:56:39
145,1645451800,a0528b,2994.6600000000003,2022-02-21 07:56:40
146,1645451801,a0528b,2994.6600000000003,2022-02-21 07:56:41
147,1645451802,a0528b,2994.6600000000003,2022-02-21 07:56:42
148,1645451803,a0528b,2994.6600000000003,2022-02-21 07:56:43
149,1645451804,a0528b,2994.6600000000003,2022-02-21 07:56:44
150,1645451805,a0528b,2994.6600000000003,2022-02-21 07:56:45
151,1645451806,a0528b,2994.6600000000003,2022-02-21 07:56:46
152,1645451807,a0528b,2994.6600000000003,2022-02-21 07:56:47
153,1645451808,a0528b,2994.6600000000003,2022-02-21 07:56:48
154,1645451809,a0528b,2994.6600000000003,2022-02-21 07:56:49
155,1645451810,a0528b,2994.6600000000003,2022-02-21 07:56:50
156,1645451811,a0528b,2994.6600000000003,2022-02-21 07:56:51
157,1645451812,a0528b,2994.6600000000003,2022-02-21 07:56:52
158,1645451813,a0528b,2994.6600000000003,2022-02-21 07:56:53
159,1645451814,a0528b,2994.6600000000003,2022-02-21 07:56:54
